device_id,LocationCode,device_ip,sdk_ts,latitude,longitude,accuracy,country,Geohash
765A7NPeTwyA3eUAd9HsZg==,A412,373RDQ==,2021-03-04 05:38:44 UTC,28.46667,77.03333,9,IN,ttncby
aW5OVQ1WRA2E6YIYfLkGyw==,A153,AbvwpQ==,2021-03-04 16:02:17 UTC,28.46667,77.03333,9,IN,ttncby
aW5OVQ1WRA2E6YIYfLkGyw==,A278,AbvwpQ==,2021-03-04 16:02:17 UTC,28.46667,77.03333,9,IN,ttncby
aW5OVQ1WRA2E6YIYfLkGyw==,A412,AbvwpQ==,2021-03-04 16:02:17 UTC,28.46667,77.03333,9,IN,ttncby
gBt08g67RPKan1DGCWxcbw==,A153,Lx6lOQ==,2021-03-03 14:16:24 UTC,28.46667,77.03333,7,IN,ttncby
gBt08g67RPKan1DGCWxcbw==,A278,Lx6lOQ==,2021-03-03 14:16:24 UTC,28.46667,77.03333,7,IN,ttncby
gBt08g67RPKan1DGCWxcbw==,A412,Lx6lOQ==,2021-03-03 14:16:24 UTC,28.46667,77.03333,7,IN,ttncby
VUEP5AXfSEOr8KujlIYH3Q==,A153,asQ7Hw==,2021-03-03 14:22:32 UTC,28.46667,77.03333,10,IN,ttncby
VUEP5AXfSEOr8KujlIYH3Q==,A278,asQ7Hw==,2021-03-03 14:22:32 UTC,28.46667,77.03333,10,IN,ttncby
VUEP5AXfSEOr8KujlIYH3Q==,A412,asQ7Hw==,2021-03-03 14:22:32 UTC,28.46667,77.03333,10,IN,ttncby
A3epiZWFT/OQDdr+qODSSA==,A153,Abv8Xw==,2021-03-03 05:28:59 UTC,28.46667,77.03333,10,IN,ttncby
A3epiZWFT/OQDdr+qODSSA==,A278,Abv8Xw==,2021-03-03 05:28:59 UTC,28.46667,77.03333,10,IN,ttncby
A3epiZWFT/OQDdr+qODSSA==,A412,Abv8Xw==,2021-03-03 05:28:59 UTC,28.46667,77.03333,10,IN,ttncby
KPZVT0dQQDqgGcuTisoFuw==,A153,37lFDQ==,2021-03-04 07:40:56 UTC,28.46667,77.03333,8,IN,ttncby
KPZVT0dQQDqgGcuTisoFuw==,A278,37lFDQ==,2021-03-04 07:40:56 UTC,28.46667,77.03333,8,IN,ttncby
KPZVT0dQQDqgGcuTisoFuw==,A412,37lFDQ==,2021-03-04 07:40:56 UTC,28.46667,77.03333,8,IN,ttncby
Q+j5iwwuQiuCki/g9wtXBQ==,A153,3+TlRA==,2021-03-03 17:14:51 UTC,28.46667,77.03333,2,IN,ttncby
Q+j5iwwuQiuCki/g9wtXBQ==,A278,3+TlRA==,2021-03-03 17:14:51 UTC,28.46667,77.03333,2,IN,ttncby
Q+j5iwwuQiuCki/g9wtXBQ==,A412,3+TlRA==,2021-03-03 17:14:51 UTC,28.46667,77.03333,2,IN,ttncby
oLItYwjTQtWZiWeKRfQ0Lg==,A153,asRsaw==,2021-03-04 12:38:57 UTC,28.46667,77.03333,1,IN,ttncby
oLItYwjTQtWZiWeKRfQ0Lg==,A278,asRsaw==,2021-03-04 12:38:57 UTC,28.46667,77.03333,1,IN,ttncby
oLItYwjTQtWZiWeKRfQ0Lg==,A412,asRsaw==,2021-03-04 12:38:57 UTC,28.46667,77.03333,1,IN,ttncby
FeleeuGxRGK0iPGYSQy+Mg==,A153,asN72g==,2021-03-04 02:40:08 UTC,28.46667,77.03333,2,IN,ttncby
FeleeuGxRGK0iPGYSQy+Mg==,A278,asN72g==,2021-03-04 02:40:08 UTC,28.46667,77.03333,2,IN,ttncby
